[run number];1;2;3;4;5;6;7;8;9;10
N-HUMATS;100;100;100;100;100;100;100;100;100;100
initialization;random uniform;random uniform;random uniform;random uniform;random uniform;random uniform;random uniform;random uniform;random uniform;random uniform
allowed_contacts_per_day;1;2;3;4;5;6;7;8;9;10
;789;874;947;1075;1162;1238;1333;1253;1402;1364
;792;884;950;1080;1168;1245;1340;1261;1415;1381
;798;889;956;1088;1177;1252;1347;1270;1425;1394
;806;892;963;1096;1189;1262;1354;1279;1438;1401
;809;898;970;1098;1195;1267;1362;1286;1446;1413
;812;903;976;1105;1200;1275;1365;1297;1455;1423
;815;905;980;1114;1205;1285;1374;1312;1462;1435
;816;910;982;1119;1210;1291;1382;1322;1470;1441
;821;916;987;1123;1222;1296;1393;1333;1486;1446
;830;926;1000;1129;1231;1310;1398;1336;1491;1459
;841;934;1010;1144;1246;1321;1412;1348;1501;1467
;851;943;1021;1152;1259;1337;1423;1355;1512;1480
;856;952;1033;1157;1274;1350;1432;1362;1520;1494
;863;960;1045;1165;1285;1360;1442;1367;1531;1503
;868;967;1050;1174;1291;1366;1451;1383;1542;1512
;876;973;1055;1184;1303;1380;1459;1395;1558;1520
;879;978;1064;1190;1315;1395;1467;1407;1570;1528
;884;984;1071;1197;1327;1404;1476;1424;1580;1540
;891;993;1082;1209;1341;1413;1490;1432;1590;1554
;893;1003;1091;1217;1354;1423;1500;1437;1600;1565
;897;1012;1096;1225;1363;1433;1515;1448;1608;1575
;906;1016;1102;1234;1371;1442;1526;1460;1618;1586
;913;1024;1111;1240;1377;1454;1535;1470;1628;1594
;920;1030;1119;1246;1384;1461;1549;1479;1633;1602
;929;1034;1119;1255;1390;1471;1561;1487;1642;1609
;936;1040;1124;1262;1398;1477;1569;1500;1649;1625
;942;1044;1131;1270;1407;1486;1576;1509;1660;1635
;950;1048;1135;1276;1417;1493;1586;1515;1667;1647
;957;1058;1141;1280;1426;1503;1598;1524;1677;1659
;963;1061;1146;1285;1432;1510;1613;1537;1689;1673
;964;1068;1149;1289;1436;1514;1622;1543;1699;1682
;967;1078;1150;1294;1440;1526;1634;1551;1710;1691
;973;1085;1157;1299;1447;1531;1639;1561;1717;1698
;979;1091;1165;1307;1459;1538;1645;1563;1726;1711
;989;1101;1168;1314;1471;1545;1657;1572;1741;1722
;992;1110;1181;1327;1482;1551;1670;1580;1748;1736
;999;1114;1184;1336;1491;1568;1679;1589;1760;1748
;1006;1125;1198;1343;1502;1578;1692;1600;1767;1755
;1020;1133;1207;1354;1513;1592;1702;1611;1778;1770
;1032;1145;1223;1368;1520;1601;1711;1621;1783;1779
;1037;1154;1233;1379;1529;1613;1718;1628;1795;1786
;1045;1163;1242;1393;1543;1623;1730;1636;1802;1793
;1049;1167;1251;1405;1552;1630;1737;1643;1813;1800
;1058;1172;1255;1408;1564;1640;1745;1658;1818;1818
;1060;1178;1260;1417;1570;1651;1754;1665;1825;1825
;1068;1182;1266;1428;1582;1660;1759;1677;1834;1835
;1077;1192;1271;1431;1592;1676;1768;1684;1840;1847
;1085;1199;1282;1435;1599;1684;1779;1692;1845;1859
;1092;1204;1292;1442;1607;1694;1787;1702;1858;1868
;1099;1208;1297;1444;1615;1702;1794;1709;1871;1878
;1108;1212;1302;1450;1627;1714;1799;1722;1885;1887
;1117;1220;1308;1457;1635;1721;1808;1734;1894;1905
;1125;1221;1313;1462;1643;1724;1816;1744;1903;1909
;1131;1225;1319;1468;1651;1731;1823;1753;1908;1918
;1138;1230;1324;1473;1660;1742;1832;1761;1916;1929
;1143;1237;1327;1481;1671;1752;1840;1768;1929;1934
;1152;1248;1331;1485;1679;1756;1852;1769;1939;1942
;1164;1254;1343;1494;1689;1765;1862;1775;1947;1958
;1175;1265;1355;1500;1695;1775;1873;1788;1951;1968
;1187;1280;1363;1509;1703;1787;1879;1795;1960;1985
;1193;1289;1372;1520;1715;1800;1890;1809;1970;1998
;1201;1296;1383;1531;1723;1807;1899;1819;1976;2008
;1209;1306;1390;1544;1737;1815;1916;1823;1983;2018
;1217;1314;1403;1550;1749;1825;1931;1838;1997;2025
;1223;1323;1413;1565;1761;1837;1943;1851;2006;2036
;1231;1329;1420;1570;1769;1847;1956;1863;2015;2044
;1239;1337;1424;1576;1776;1857;1966;1872;2024;2050
;1246;1343;1437;1585;1787;1862;1975;1881;2035;2062
;1253;1349;1439;1590;1801;1871;1985;1886;2045;2079
;1257;1356;1445;1596;1808;1882;1994;1897;2048;2093
;1265;1361;1451;1603;1816;1892;2001;1910;2057;2105
;1273;1364;1457;1613;1820;1900;2009;1917;2061;2114
;1278;1375;1463;1623;1826;1911;2022;1931;2070;2126
;1281;1380;1470;1631;1838;1923;2032;1944;2082;2135
;1284;1387;1475;1638;1840;1937;2040;1951;2094;2144
;1291;1390;1480;1645;1846;1943;2045;1960;2104;2155
;1293;1395;1484;1657;1852;1950;2050;1968;2116;2167
;1299;1399;1490;1665;1860;1960;2061;1976;2122;2177
;1306;1404;1494;1672;1863;1968;2068;1985;2130;2190
;1310;1406;1500;1678;1870;1978;2071;1994;2140;2196
;1314;1411;1507;1684;1876;1984;2076;2005;2144;2205
;1321;1419;1521;1691;1884;1995;2089;2012;2151;2218
;1327;1430;1536;1700;1891;2002;2101;2023;2157;2229
;1333;1445;1545;1717;1905;2012;2119;2032;2172;2236
;1337;1455;1553;1726;1919;2022;2129;2048;2178;2247
;1340;1465;1563;1734;1932;2029;2140;2056;2188;2259
;1346;1478;1571;1741;1944;2041;2147;2068;2198;2264
;1357;1488;1575;1754;1953;2053;2156;2081;2206;2271
;1361;1497;1584;1763;1959;2063;2167;2092;2218;2284
;1367;1501;1597;1774;1968;2073;2176;2107;2231;2290
;1372;1512;1605;1785;1982;2085;2189;2113;2242;2300
;1378;1517;1615;1796;1990;2099;2197;2121;2247;2310
;1384;1525;1620;1803;2002;2107;2207;2131;2258;2317
;1393;1529;1626;1816;2010;2113;2214;2138;2270;2325
;1398;1536;1632;1825;2022;2129;2223;2146;2280;2336
;1404;1545;1636;1834;2030;2137;2232;2153;2290;2349
;1411;1552;1640;1846;2035;2148;2239;2168;2299;2355
;1416;1558;1641;1853;2039;2154;2249;2178;2312;2363
;1425;1562;1647;1860;2045;2167;2252;2192;2324;2372
;1427;1568;1653;1863;2051;2174;2259;2201;2334;2383
;1432;1575;1657;1869;2060;2184;2272;2208;2345;2391
;1436;1579;1666;1872;2069;2191;2278;2213;2358;2401
;1441;1583;1675;1878;2078;2196;2284;2220;2367;2413
;1443;1583;1679;1883;2083;2207;2293;2224;2376;2419
;1452;1589;1684;1887;2087;2212;2302;2237;2387;2427
;1462;1598;1697;1894;2095;2224;2310;2248;2392;2438
;1471;1609;1705;1905;2108;2233;2319;2266;2402;2450
;1480;1623;1719;1913;2122;2240;2330;2274;2420;2462
;1484;1626;1727;1924;2130;2246;2341;2281;2431;2472
;1488;1634;1735;1933;2137;2255;2355;2287;2441;2479
;1492;1643;1740;1945;2150;2268;2363;2297;2454;2491
;1501;1649;1747;1959;2158;2277;2374;2306;2463;2499
;1509;1657;1755;1964;2163;2288;2383;2315;2470;2512
;1518;1666;1767;1977;2171;2297;2393;2324;2479;2527
;1529;1671;1776;1984;2180;2312;2400;2335;2490;2535
;1533;1678;1781;1988;2193;2317;2402;2346;2497;2545
;1537;1682;1787;1998;2196;2324;2411;2354;2512;2557
;1543;1685;1792;2007;2210;2336;2421;2358;2525;2564
;1548;1692;1799;2018;2218;2346;2430;2368;2529;2575
;1553;1698;1805;2028;2224;2356;2441;2378;2534;2587
;1561;1705;1808;2032;2232;2362;2450;2395;2544;2597
;1568;1712;1812;2043;2240;2366;2457;2405;2552;2605
;1574;1719;1818;2047;2244;2376;2468;2417;2563;2616
;1580;1722;1823;2051;2247;2385;2476;2424;2576;2626
;1586;1729;1823;2056;2255;2388;2485;2438;2583;2639
;1589;1733;1828;2064;2262;2395;2491;2446;2592;2645
;1596;1739;1834;2068;2268;2402;2502;2463;2600;2657
;1600;1744;1836;2071;2273;2412;2509;2471;2607;2667
;1603;1749;1838;2079;2277;2420;2520;2481;2612;2680
;1611;1758;1846;2085;2289;2430;2531;2490;2618;2689
;1619;1775;1854;2098;2297;2440;2541;2505;2629;2701
;1634;1778;1862;2107;2303;2448;2549;2512;2639;2712
;1647;1784;1870;2114;2315;2465;2555;2519;2652;2716
;1650;1789;1886;2126;2328;2477;2562;2526;2661;2729
;1657;1797;1897;2136;2340;2482;2568;2535;2675;2744
;1665;1800;1908;2143;2348;2491;2578;2549;2690;2751
;1667;1807;1920;2148;2356;2501;2589;2558;2703;2756
;1670;1816;1927;2163;2368;2511;2595;2570;2710;2764
;1676;1825;1939;2179;2375;2521;2611;2582;2719;2773
;1681;1831;1944;2186;2384;2529;2624;2585;2733;2784
;1687;1840;1948;2193;2388;2535;2634;2590;2746;2791
;1694;1849;1955;2205;2396;2544;2644;2597;2757;2800
;1703;1853;1962;2210;2403;2551;2650;2605;2767;2812
;1708;1857;1971;2217;2409;2558;2661;2615;2778;2820
;1718;1861;1978;2224;2421;2568;2667;2630;2792;2830
;1727;1866;1982;2227;2431;2578;2679;2639;2799;2838
;1731;1871;1987;2233;2444;2588;2686;2650;2808;2847
;1735;1877;1995;2240;2455;2596;2695;2660;2814;2856
;1741;1880;1996;2246;2469;2604;2701;2673;2821;2860
;1750;1883;2000;2256;2477;2609;2716;2684;2829;2867
;1752;1888;2006;2264;2484;2615;2720;2693;2840;2879
;1760;1896;2013;2268;2487;2621;2727;2696;2849;2887
;1765;1899;2022;2275;2489;2632;2733;2704;2856;2903
;1775;1912;2039;2283;2500;2638;2749;2711;2867;2913
;1786;1916;2052;2294;2509;2646;2761;2721;2871;2920
;1796;1926;2061;2304;2516;2658;2773;2734;2879;2930
;1808;1934;2070;2320;2523;2671;2785;2747;2891;2938
;1813;1945;2084;2329;2535;2677;2795;2757;2906;2945
;1821;1953;2095;2337;2548;2689;2805;2765;2920;2952
;1830;1961;2101;2349;2555;2698;2814;2773;2934;2963
;1837;1966;2105;2360;2566;2702;2823;2780;2948;2971
;1846;1977;2115;2370;2576;2714;2831;2785;2963;2983
;1856;1985;2121;2380;2583;2724;2838;2799;2970;2992
;1865;1991;2129;2389;2592;2737;2850;2807;2978;2998
;1874;1994;2139;2397;2602;2742;2861;2811;2989;3007
;1880;2003;2143;2404;2613;2753;2874;2822;2996;3017
;1886;2009;2146;2411;2622;2765;2885;2831;3003;3021
;1891;2021;2148;2416;2625;2775;2890;2841;3008;3031
;1898;2029;2159;2424;2635;2780;2901;2848;3018;3039
;1911;2034;2170;2429;2641;2787;2909;2862;3023;3055
;1915;2038;2177;2438;2647;2799;2918;2874;3033;3061
;1925;2047;2182;2440;2659;2806;2933;2886;3043;3069
;1933;2051;2189;2446;2666;2812;2946;2894;3060;3082
;1939;2059;2191;2451;2672;2819;2953;2907;3070;3092
;1945;2063;2198;2458;2680;2827;2964;2917;3079;3101
;1952;2071;2200;2468;2685;2836;2977;2931;3085;3112
;1961;2076;2203;2475;2692;2841;2986;2942;3095;3117
;1969;2083;2216;2482;2705;2848;2993;2955;3107;3123
;1978;2088;2226;2488;2712;2859;3003;2972;3116;3131
;1984;2098;2238;2500;2724;2870;3015;2986;3125;3141
;1995;2110;2250;2512;2739;2885;3024;2996;3134;3155
;2003;2118;2262;2521;2748;2890;3035;3009;3141;3164
;2012;2126;2269;2529;2757;2896;3045;3022;3150;3173
;2014;2137;2277;2536;2764;2906;3054;3035;3159;3184
;2021;2146;2286;2545;2773;2915;3061;3042;3169;3192
;2026;2158;2295;2553;2787;2926;3071;3052;3179;3198
;2034;2165;2305;2565;2794;2932;3075;3058;3189;3203
;2041;2169;2310;2571;2802;2941;3083;3068;3199;3210
;2046;2179;2314;2581;2812;2950;3094;3077;3214;3221
;2049;2184;2319;2592;2822;2960;3105;3087;3222;3228
;2054;2189;2328;2600;2835;2972;3116;3095;3231;3241
;2061;2194;2334;2606;2845;2985;3127;3103;3239;3253
;2064;2202;2338;2614;2855;2992;3134;3114;3248;3261
;2071;2206;2346;2621;2865;3003;3140;3126;3263;3268
;2077;2213;2349;2630;2868;3013;3146;3137;3273;3279
;2078;2218;2359;2639;2876;3018;3156;3146;3284;3286
;2089;2224;2362;2644;2884;3022;3172;3158;3292;3291
;2096;2230;2367;2651;2891;3028;3177;3167;3305;3307
;2101;2234;2372;2655;2900;3040;3184;3174;3315;3313
;2105;2239;2376;2659;2909;3049;3195;3182;3324;3322
;2109;2242;2377;2663;2918;3051;3214;3192;3336;3334
;2120;2255;2389;2665;2927;3060;3225;3197;3346;3347
;2130;2260;2398;2676;2939;3069;3237;3206;3360;3356
;2138;2273;2405;2685;2948;3082;3248;3215;3370;3368
;2144;2280;2412;2699;2954;3093;3260;3227;3381;3376
;2149;2290;2424;2710;2965;3106;3273;3238;3387;3387
;2159;2303;2430;2723;2975;3116;3288;3246;3396;3397
;2166;2308;2438;2735;2981;3119;3301;3255;3409;3405
;2174;2315;2448;2747;2994;3130;3307;3266;3417;3415
;2178;2323;2454;2753;3009;3139;3317;3276;3424;3425
;2184;2331;2464;2760;3019;3145;3330;3284;3430;3433
;2189;2337;2472;2767;3024;3152;3340;3301;3440;3442
;2194;2341;2477;2778;3031;3163;3353;3309;3448;3454
;2203;2351;2483;2788;3037;3175;3364;3315;3461;3462
;2212;2361;2490;2803;3044;3189;3372;3319;3466;3472
;2214;2373;2495;2812;3055;3200;3390;3327;3473;3482
;2217;2379;2505;2814;3065;3211;3402;3335;3482;3489
;2223;2385;2511;2820;3073;3216;3413;3343;3490;3500
;2227;2393;2518;2824;3079;3227;3422;3351;3496;3509
;2236;2402;2524;2832;3090;3236;3432;3361;3506;3514
;2237;2405;2532;2840;3095;3248;3445;3369;3512;3521
;2243;2413;2536;2852;3105;3255;3457;3375;3523;3532
;2247;2418;2539;2862;3114;3259;3465;3385;3534;3542
;2256;2423;2543;2868;3120;3264;3474;3397;3541;3551
;2262;2429;2545;2873;3124;3271;3484;3410;3549;3557
;2269;2442;2556;2883;3130;3279;3492;3424;3556;3568
;2278;2451;2566;2897;3138;3293;3501;3431;3573;3579
;2286;2458;2576;2907;3148;3303;3515;3442;3584;3585
;2294;2470;2586;2918;3155;3315;3532;3461;3590;3593
;2303;2480;2600;2923;3161;3325;3544;3470;3603;3600
;2311;2487;2605;2928;3180;3335;3550;3476;3608;3618
;2318;2496;2616;2939;3188;3342;3558;3488;3616;3629
;2330;2508;2623;2949;3196;3350;3569;3497;3631;3640
;2340;2517;2635;2958;3204;3362;3579;3505;3639;3650
;2344;2521;2641;2966;3217;3372;3584;3520;3647;3661
;2355;2532;2647;2972;3224;3385;3599;3525;3658;3666
;2364;2535;2655;2978;3231;3395;3607;3528;3666;3671
;2375;2542;2657;2987;3241;3407;3613;3532;3679;3689
;2382;2551;2663;2994;3247;3415;3622;3538;3691;3697
;2392;2558;2668;3001;3255;3425;3631;3546;3698;3703
