BehaviorSpace results (NetLogo 6.2.0)
HUMAT_COVID_visitors_measure_FINAL.nlogo
importances_sweep
12/14/2021 14:24:46:706 +0100
"min-pxcor,""max-pxcor"",""min-pycor"",""max-pycor"""
"-45,""45"",""-45"",""45"""
"[run number],""N-HUMATS"",""experiential-importance-parameter"",""values-importance-parameter"",""min_attraction_dif"",""initialization"",""repulsion_dif"",""stop-at-day-hundred?"",""dilemma_threshold"",""adhere-to-rule-effect"",""extra_exp_satisfaction_per_hour"",""inquiry-opinion-change"",""break-the-rule-effect"",""parametrize-importances?"",""social-influence-per-tick"",""repulsion?"",""no_contact_accept_probability"",""max_attraction_dif"",""values_satisfaction_opinion_contribution"",""inquiry_probability"",""make_contact_probability"",""allowed_contacts_per_day"",""[step]"",""average_contacts_per_day_per_humat"",""average_dilemmas_per_day_per_humat"",""average_opinion_sd_over_time"",""average_opinion_mean_over_time"""
"20,""100"",""0.2"",""0"",""25"",""random uniform"",""50"",""true"",""0.05"",""0.04"",""0.01"",""0.2"",""0.02"",""true"",""0.001"",""true"",""20"",""50"",""0.5"",""1"",""10"",""4"",""2400"",""1.8868686868686868"",""0.6072727272727273"",""19.236484745197316"",""50.439595959595955"""
"18,""100"",""0"",""1"",""25"",""random uniform"",""50"",""true"",""0.05"",""0.04"",""0.01"",""0.2"",""0.02"",""true"",""0.001"",""true"",""20"",""50"",""0.5"",""1"",""10"",""6"",""2400"",""2.230808080808081"",""0.14252525252525253"",""15.853972244700849"",""58.19989898989898"""
"22,""100"",""0.2"",""0.2"",""25"",""random uniform"",""50"",""true"",""0.05"",""0.04"",""0.01"",""0.2"",""0.02"",""true"",""0.001"",""true"",""20"",""50"",""0.5"",""1"",""10"",""2"",""2400"",""1.7001010101010101"",""0.4957575757575758"",""18.860359768574767"",""40.9859595959596"""
"23,""100"",""0.2"",""0.2"",""25"",""random uniform"",""50"",""true"",""0.05"",""0.04"",""0.01"",""0.2"",""0.02"",""true"",""0.001"",""true"",""20"",""50"",""0.5"",""1"",""10"",""4"",""2400"",""1.9254545454545453"",""0.37777777777777777"",""18.00722876367201"",""54.84535353535353"""
"21,""100"",""0.2"",""0"",""25"",""random uniform"",""50"",""true"",""0.05"",""0.04"",""0.01"",""0.2"",""0.02"",""true"",""0.001"",""true"",""20"",""50"",""0.5"",""1"",""10"",""6"",""2400"",""2.241111111111111"",""0.6178787878787879"",""15.644504697737538"",""58.23303030303028"""
"24,""100"",""0.2"",""0.2"",""25"",""random uniform"",""50"",""true"",""0.05"",""0.04"",""0.01"",""0.2"",""0.02"",""true"",""0.001"",""true"",""20"",""50"",""0.5"",""1"",""10"",""6"",""2400"",""2.1743434343434345"",""0.4345454545454545"",""17.643609998353273"",""53.92242424242424"""
"25,""100"",""0.2"",""0.4"",""25"",""random uniform"",""50"",""true"",""0.05"",""0.04"",""0.01"",""0.2"",""0.02"",""true"",""0.001"",""true"",""20"",""50"",""0.5"",""1"",""10"",""2"",""2400"",""1.6922222222222223"",""0.3245454545454545"",""18.099475562289136"",""39.3191919191919"""
"26,""100"",""0.2"",""0.4"",""25"",""random uniform"",""50"",""true"",""0.05"",""0.04"",""0.01"",""0.2"",""0.02"",""true"",""0.001"",""true"",""20"",""50"",""0.5"",""1"",""10"",""4"",""2400"",""1.9963636363636363"",""0.2411111111111111"",""19.17194089927046"",""45.74636363636362"""
"28,""100"",""0.2"",""0.6"",""25"",""random uniform"",""50"",""true"",""0.05"",""0.04"",""0.01"",""0.2"",""0.02"",""true"",""0.001"",""true"",""20"",""50"",""0.5"",""1"",""10"",""2"",""2400"",""1.692929292929293"",""0.19727272727272727"",""19.739585391697084"",""42.450101010101015"""
"29,""100"",""0.2"",""0.6"",""25"",""random uniform"",""50"",""true"",""0.05"",""0.04"",""0.01"",""0.2"",""0.02"",""true"",""0.001"",""true"",""20"",""50"",""0.5"",""1"",""10"",""4"",""2400"",""1.9331313131313133"",""0.21"",""17.230595907819183"",""53.11767676767676"""
"27,""100"",""0.2"",""0.4"",""25"",""random uniform"",""50"",""true"",""0.05"",""0.04"",""0.01"",""0.2"",""0.02"",""true"",""0.001"",""true"",""20"",""50"",""0.5"",""1"",""10"",""6"",""2400"",""2.199292929292929"",""0.24030303030303032"",""17.181388802677997"",""62.09212121212122"""
"31,""100"",""0.2"",""0.8"",""25"",""random uniform"",""50"",""true"",""0.05"",""0.04"",""0.01"",""0.2"",""0.02"",""true"",""0.001"",""true"",""20"",""50"",""0.5"",""1"",""10"",""2"",""2400"",""1.705151515151515"",""0.15737373737373736"",""16.60849079788904"",""36.41080808080809"""
