"BehaviorSpace results (NetLogo 6.2.0)"
"HUMAT_COVID_visitors_measure_FINAL.nlogo"
"Single_run"
"12/09/2021 16:33:56:769 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-45","45","-45","45"
"[run number]","1"
"N-HUMATS","100"
"initialization","RIVM survey: 30 dec 2020 - 3 jan 2021"
"allowed_contacts_per_day","2"
"experiential-importance-parameter","0.5"
"min_attraction_dif","25"
"stop-at-day-hundred?","false"
"repulsion_dif","50"
"dilemma_threshold","0.05"
"break-the-rule-effect","0.02"
"adhere-to-rule-effect","0.04"
"inquiry-opinion-change","0.2"
"extra_exp_satisfaction_per_hour","0.01"
"values-importance-parameter","0.5"
"parametrize-importances?","false"
"social-influence-per-tick","0.001"
"repulsion?","true"
"max_attraction_dif","50"
"no_contact_accept_probability","20"
"values_satisfaction_opinion_contribution","0.5"
"inquiry_probability","1"
"make_contact_probability","10"
"[reporter]","sort [opinion_measure] of HUMATs"
"[final]","[13 20 23 24 24 25 28 29 29 29 30 30 30 31 31 32 32 33 34 34 36 36 36 37 38 38 38 39 40 40 41 41 41 41 41 42 42 43 44 44 45 45 45 45 46 47 47 47 47 47 48 48 49 49 52 52 53 53 55 56 57 58 59 59 61 61 62 62 63 63 63 63 64 64 64 64 64 65 66 66 68 68 68 69 70 72 72 73 74 75 75 76 79 80 81 83 84 84 87 89]"
"[min]",
"[max]",
"[mean]",
"[steps]","2400"

"[all run data]","sort [opinion_measure] of HUMATs"
,"[12 21 23 24 26 35 45 48 50 50 52 55 57 58 61 61 64 65 65 68 68 69 69 70 70 70 71 71 74 74 75 75 76 76 76 77 77 78 78 78 79 79 80 80 80 80 81 82 82 82 83 83 83 84 84 84 85 85 85 86 86 87 87 87 87 88 88 89 89 89 90 90 90 91 91 91 92 92 92 93 93 94 94 94 94 95 95 95 96 96 96 96 97 97 98 98 98 99 99 99]"
,"[12 21 23 24 26 35 45 48 50 50 52 55 57 58 61 61 64 65 65 68 68 69 69 70 70 70 71 71 74 74 75 75 76 76 76 77 77 78 78 78 79 79 80 80 80 80 81 82 82 82 83 83 83 84 84 84 85 85 85 86 86 87 87 87 87 88 88 89 89 89 90 90 90 91 91 91 92 92 92 93 93 94 94 94 94 95 95 95 96 96 96 96 97 97 98 98 98 99 99 99]"
,"[12 21 23 24 26 35 45 48 50 50 52 55 57 58 61 61 64 65 65 68 68 69 69 70 70 70 71 71 74 74 75 75 76 76 76 77 77 78 78 78 79 79 80 80 80 80 81 82 82 82 83 83 83 84 84 84 85 85 85 86 86 87 87 87 87 88 88 89 89 89 90 90 90 91 91 91 92 92 92 93 93 94 94 94 94 95 95 95 96 96 96 96 97 97 98 98 98 99 99 99]"
,"[12 21 23 24 26 35 45 48 50 50 52 55 57 58 61 61 64 65 65 68 68 69 69 70 70 70 71 71 74 74 75 75 76 76 76 77 77 78 78 78 79 79 80 80 80 80 81 82 82 82 83 83 83 84 84 84 85 85 85 86 86 87 87 87 87 88 88 89 89 89 90 90 90 91 91 91 92 92 92 93 93 94 94 94 94 95 95 95 96 96 96 96 97 97 98 98 98 99 99 99]"
,"[12 21 23 24 26 35 45 48 50 50 52 55 57 58 61 61 64 65 65 68 68 69 69 70 70 70 71 71 74 74 75 75 76 76 76 77 77 78 78 78 79 79 80 80 80 80 81 82 82 82 83 83 83 84 84 84 85 85 85 86 86 87 87 87 87 88 88 89 89 89 90 90 90 91 91 91 92 92 92 93 93 94 94 94 94 95 95 95 96 96 96 96 97 97 98 98 98 99 99 99]"
