0.9,4,7.3,11.8,27.9,48.1
0.5,3.1,7.4,11.9,30.6,46.5
0,5.8,10.5,13.7,28.9,41.1
0,3.3,6.6,10.9,30.7,48.5
0,9.2,18,17.1,27.2,28.5
0,10.4,23,19.3,25.3,22
